Date,Description,Amount
2023-03-10,Debit Card Purchase, -34.56
2023-03-15,Transfer to Global Forex Capital, 5000.00
2023-03-20,Direct Debit - Utilities, -120.00
2023-03-25,Credit, 50.00
2023-04-05,Transfer to Global Forex Capital, 10000.00
2023-04-15,Standing Order - Savings, -250.00
2023-04-20,Transfer to Global Forex Capital, 10000.00
2023-04-25,Debit Card Purchase, -78.90
2023-05-05,Transfer to Global Forex Capital, 10000.00
2023-05-15,Direct Debit - Insurance, -85.00
2023-05-20,Transfer to Global Forex Capital, 10000.00
2023-05-25,Salary Credit, 9000.00
2023-05-30,Transfer to Global Forex Capital, 5000.00
2023-06-05,Debit Card Purchase, -42.00
